Nom^Equip^Posició^Alçada^Pes^Edat
Adam Donachie^BAL^Base^198.81^68.4^23
Paul Bako^BAL^Base^198.81^81.7^35
Ramon Hernandez^BAL^Base^193.42^79.8^31
Kevin Millar^BAL^Pivot^193.42^79.8^35
Chris Gomez^BAL^Pivot^196.11^71.44^36
Brian Roberts^BAL^Alero^185.37^66.88^29
Miguel Tejada^BAL^Ala-pivot^185.37^79.42^31
Melvin Mora^BAL^Alero^190.75^76.0^35
Aubrey Huff^BAL^Alero^204.17^87.78^30
Adam Stern^BAL^Escolta^190.75^68.4^27
Jeff Fiorentino^BAL^Escolta^196.11^71.44^24
Freddie Bynum^BAL^Escolta^196.11^68.4^27
Nick Markakis^BAL^Escolta^198.81^70.3^23
Brandon Fahey^BAL^Escolta^198.81^60.8^26
Corey Patterson^BAL^Escolta^185.37^68.4^28
Jay Payton^BAL^Escolta^188.06^70.3^34
Jay Gibbons^BAL^Alero^193.42^74.86^30
Erik Bedard^BAL^Base^196.11^71.82^28
Hayden Penn^BAL^Base^201.5^70.3^22
Adam Loewen^BAL^Base^209.55^83.22^23
Daniel Cabrera^BAL^Base^212.24^87.4^26
Steve Trachsel^BAL^Base^204.17^77.9^36
Jaret Wright^BAL^Base^198.81^87.4^31
Kris Benson^BAL^Base^204.17^74.1^32
Scott Williamson^BAL^Pivot^193.42^68.4^31
John Parrish^BAL^Pivot^190.75^72.96^29
Danys Baez^BAL^Pivot^201.5^85.5^29
Chad Bradford^BAL^Pivot^206.86^77.14^32
Jamie Walker^BAL^Pivot^198.81^74.1^36
Brian Burres^BAL^Pivot^196.11^69.16^26
Kurt Birkins^BAL^Pivot^198.81^71.44^27
James Hoey^BAL^Pivot^209.55^76.0^24
Sendy Rleal^BAL^Pivot^196.11^68.4^27
Chris Ray^BAL^Pivot^201.5^76.0^25
Jeremy Guthrie^BAL^Pivot^196.11^76.0^28
A.J. Pierzynski^CWS^Base^201.5^93.1^30
Toby Hall^CWS^Base^201.5^91.2^31
Paul Konerko^CWS^Pivot^198.81^81.7^31
Tadahito Iguchi^CWS^Alero^185.37^70.3^32
Juan Uribe^CWS^Ala-pivot^190.75^66.5^28
Alex Cintron^CWS^Ala-pivot^198.81^75.62^28
Joe Crede^CWS^Alero^196.11^76.0^29
Josh Fields^CWS^Alero^196.11^81.7^24
Ryan Sweeney^CWS^Escolta^204.17^76.0^22
Brian N. Anderson^CWS^Escolta^198.81^77.9^25
Luis Terrero^CWS^Escolta^198.81^78.28^27
Pablo Ozuna^CWS^Escolta^188.06^70.68^33
Scott Podsednik^CWS^Escolta^193.42^71.44^31
Jermaine Dye^CWS^Escolta^206.86^83.6^33
Darin Erstad^CWS^Escolta^198.81^79.8^33
Rob Mackowiak^CWS^Escolta^188.06^74.1^31
Jim Thome^CWS^Alero^204.17^92.72^37
Jerry Owens^CWS^Alero^201.5^74.1^26
Charlie Haeger^CWS^Base^196.11^76.0^23
Heath Phillips^CWS^Base^201.5^76.0^25
Gavin Floyd^CWS^Base^204.17^80.56^24
Jose Contreras^CWS^Base^204.17^85.12^35
Jon Garland^CWS^Base^209.55^79.8^27
Javier Vazquez^CWS^Base^198.81^77.9^31
Mark Buehrle^CWS^Base^198.81^83.6^28
Mike MacDougal^CWS^Pivot^204.17^74.1^30
David Aardsma^CWS^Pivot^206.86^76.0^25
Andrew Sisco^CWS^Pivot^217.6^98.8^24
Matt Thornton^CWS^Pivot^209.55^86.64^30
Bobby Jenks^CWS^Pivot^201.5^102.6^26
Boone Logan^CWS^Pivot^206.86^76.0^23
Sean Tracey^CWS^Pivot^201.5^79.8^26
Nick Masset^CWS^Pivot^204.17^72.2^25
Jose Molina^ANA^Base^198.81^83.6^32
Jeff Mathis^ANA^Base^193.42^68.4^24
Mike Napoli^ANA^Base^193.42^77.9^25
Casey Kotchman^ANA^Pivot^201.5^79.8^24
Kendry Morales^ANA^Pivot^196.11^83.6^24
Shea Hillenbrand^ANA^Pivot^196.11^80.18^32
Robb Quinlan^ANA^Pivot^196.11^76.0^30
Howie Kendrick^ANA^Pivot^188.06^68.4^24
Orlando Cabrera^ANA^Ala-pivot^188.06^72.2^32
Erick Aybar^ANA^Ala-pivot^188.06^64.6^23
Dallas McPherson^ANA^Alero^204.17^87.4^27
Maicer Izturis^ANA^Alero^182.68^58.9^26
Reggie Willits^ANA^Escolta^190.75^70.3^26
Tommy Murphy^ANA^Escolta^193.42^70.3^28
Terry Evans^ANA^Escolta^201.5^76.0^25
Gary Matthews Jr.^ANA^Escolta^201.5^85.5^33
Garret Anderson^ANA^Escolta^201.5^85.5^35
Vladimir Guerrero^ANA^Escolta^201.5^83.6^31
Chone Figgins^ANA^Escolta^182.68^60.8^29
Juan Rivera^ANA^Escolta^198.81^77.9^29
John Lackey^ANA^Base^209.55^89.3^28
Bartolo Colon^ANA^Base^190.75^95.0^34
Kelvim Escobar^ANA^Base^196.11^79.8^31
Dustin Moseley^ANA^Base^204.17^72.2^38
Ervin Santana^ANA^Base^198.81^60.8^24
Joe Saunders^ANA^Base^198.81^76.0^26
Jered Weaver^ANA^Base^212.24^77.9^24
Chris Resop^ANA^Pivot^201.5^84.36^24
Phil Seibel^ANA^Pivot^196.11^74.1^28
Justin Speier^ANA^Pivot^204.17^77.9^33
Darren Oliver^ANA^Pivot^198.81^83.6^36
Hector Carrasco^ANA^Pivot^198.81^83.6^37
Scot Shields^ANA^Pivot^196.11^64.6^32
Francisco Rodriguez^ANA^Pivot^193.42^70.3^25
Greg Jones^ANA^Pivot^198.81^74.1^30
Doug Mirabelli^BOS^Base^196.11^83.6^36
Jason Varitek^BOS^Base^198.81^87.4^35
George Kottaras^BOS^Base^193.42^68.4^24
Kevin Youkilis^BOS^Pivot^196.11^83.6^28
Dustin Pedroia^BOS^Alero^185.37^68.4^24
Alex Cora^BOS^Ala-pivot^193.42^68.4^31
Julio Lugo^BOS^Ala-pivot^196.11^64.6^31
Mike Lowell^BOS^Alero^201.5^79.8^33
Wily Mo Pe?a^BOS^Escolta^201.5^81.7^25
J.D. Drew^BOS^Escolta^196.11^76.0^31
Manny Ramirez^BOS^Escolta^193.42^80.94^35
Brandon Moss^BOS^Escolta^193.42^68.4^23
David Murphy^BOS^Escolta^204.17^72.96^25
Eric Hinske^BOS^Escolta^198.81^89.3^30
Coco Crisp^BOS^Escolta^193.42^70.3^27
David Ortiz^BOS^Alero^204.17^87.4^31
Curt Schilling^BOS^Base^206.86^89.3^40
Tim Wakefield^BOS^Base^198.81^79.8^41
Josh Beckett^BOS^Base^206.86^84.36^27
Matt Clement^BOS^Base^201.5^79.8^33
Jonathan Papelbon^BOS^Base^204.17^87.4^26
Kyle Snyder^BOS^Base^214.93^83.6^29
Devern Hansack^BOS^Base^198.81^68.4^29
Jon Lester^BOS^Base^198.81^72.2^23
Kason Gabbard^BOS^Base^201.5^76.0^25
Craig Hansen^BOS^Pivot^209.55^79.8^23
Hideki Okajima^BOS^Pivot^196.11^73.72^31
Craig Breslow^BOS^Pivot^196.11^68.4^27
Manny Delcarmen^BOS^Pivot^198.81^72.2^25
Brendan Donnelly^BOS^Pivot^201.5^91.2^36
Javier Lopez^BOS^Pivot^204.17^76.0^30
J.C. Romero^BOS^Pivot^190.75^75.24^31
Joel Pineiro^BOS^Pivot^196.11^76.0^28
Julian Tavarez^BOS^Pivot^198.81^74.1^34
Mike Timlin^BOS^Pivot^204.17^79.8^41
Nick DeBarr^BOS^Pivot^204.17^83.6^24
Victor Martinez^CLE^Base^198.81^72.2^28
Kelly Shoppach^CLE^Base^196.11^79.8^27
Ryan Garko^CLE^Pivot^198.81^85.5^26
Joe Inglett^CLE^Alero^188.06^68.4^29
Josh Barfield^CLE^Alero^193.42^70.3^24
Hector Luna^CLE^Alero^196.11^64.6^27
Jhonny Peralta^CLE^Ala-pivot^196.11^70.3^25
Andy Marte^CLE^Alero^196.11^70.3^23
Ben Francisco^CLE^Escolta^196.11^68.4^25
Shin-Soo Choo^CLE^Escolta^190.75^67.64^25
Franklin Gutierrez^CLE^Escolta^198.81^66.5^24
Grady Sizemore^CLE^Escolta^198.81^76.0^25
Jason Michaels^CLE^Escolta^193.42^77.52^31
Trot Nixon^CLE^Escolta^198.81^80.18^33
David Dellucci^CLE^Escolta^190.75^72.2^33
Casey Blake^CLE^Escolta^198.81^79.8^34
Travis Hafner^CLE^Alero^201.5^91.2^30
Paul Byrd^CLE^Base^196.11^72.2^36
Cliff Lee^CLE^Base^201.5^72.2^28
Jake Westbrook^CLE^Base^201.5^70.3^29
C.C. Sabathia^CLE^Base^212.24^110.2^27
Jeremy Sowers^CLE^Base^196.11^66.5^24
Rafael Perez^CLE^Pivot^201.5^70.3^25
Brian Slocum^CLE^Pivot^204.17^76.0^26
Edward Mujica^CLE^Pivot^198.81^83.6^23
Fernando Cabrera^CLE^Pivot^204.17^64.6^25
Tom Mastny^CLE^Pivot^209.55^83.6^26
Juan Lara^CLE^Pivot^198.81^72.2^26
Fausto Carmona^CLE^Pivot^204.17^83.6^23
Aaron Fultz^CLE^Pivot^193.42^77.9^33
Rafael Betancourt^CLE^Pivot^198.81^76.0^32
Roberto Hernandez^CLE^Pivot^204.17^95.0^42
Joe Borowski^CLE^Pivot^198.81^85.5^36
Matt Miller^CLE^Pivot^201.5^81.7^35
Jason Davis^CLE^Pivot^209.55^79.8^27
Mike Piazza^OAK^Base^201.5^81.7^38
Jason Kendall^OAK^Base^193.42^74.1^33
Adam Melhuse^OAK^Base^198.81^76.0^35
Nick Swisher^OAK^Pivot^193.42^73.72^26
Dan Johnson^OAK^Pivot^198.81^83.6^28
Donald Murphy^OAK^Alero^188.06^68.4^24
Mark Ellis^OAK^Alero^190.75^68.4^30
Marco Scutaro^OAK^Ala-pivot^188.06^64.6^31
Bobby Crosby^OAK^Ala-pivot^201.5^74.1^27
Mark Kiger^OAK^Ala-pivot^190.75^68.4^27
Antonio Perez^OAK^Alero^190.75^64.6^27
Eric Chavez^OAK^Alero^196.11^78.28^29
Milton Bradley^OAK^Escolta^193.42^77.9^29
Shannon Stewart^OAK^Escolta^190.75^76.0^33
Bobby Kielty^OAK^Escolta^196.11^85.5^31
Mark Kotsay^OAK^Escolta^193.42^76.38^31
Ryan Goleski^OAK^Escolta^201.5^85.5^25
Jeremy Brown^OAK^Alero^188.06^85.88^27
Jason Windsor^OAK^Base^198.81^88.54^25
David Shafer^OAK^Base^198.81^68.4^25
Joe Blanton^OAK^Base^201.5^85.5^26
Brad Halsey^OAK^Base^196.11^68.4^26
Dan Haren^OAK^Base^206.86^83.6^26
Rich Harden^OAK^Base^196.11^68.4^25
Joe Kennedy^OAK^Base^204.17^90.06^28
Esteban Loaiza^OAK^Base^201.5^81.7^35
Alan Embree^OAK^Pivot^198.81^72.2^37
Jay Witasick^OAK^Pivot^204.17^89.3^35
Justin Duchscherer^OAK^Pivot^201.5^72.2^29
Kiko Calero^OAK^Pivot^196.11^68.4^32
Chad Gaudin^OAK^Pivot^190.75^62.7^24
Lenny DiNardo^OAK^Pivot^204.17^74.1^27
Scott Dunn^OAK^Pivot^201.5^76.0^29
Huston Street^OAK^Pivot^193.42^72.2^24
